xorg-xvinfo 1.1.4-2
xorg-xwd 1.0.7-2
xorg-xwininfo 1.1.5-2
xorg-xwud 1.0.5-2
xterm 360-1
xtitle-git 47-1
yad 7.2-1
yay-bin 10.0.4-1
youtube-dl 2020.09.20-1
zathura 0.4.6-1
zathura-djvu 0.2.9-1
zathura-pdf-poppler 0.3.0-1
zathura-ps 0.2.6-2
zenity 3.32.0+55+gd7bedff-1
zsh 5.8-1
zsh-completions 0.32.0-1
zsh-syntax-highlighting 0.7.1-1
